id,distributor_id,category_id,material_code,title,description,quality_grade,quantity,unit,price,currency,location,latitude,longitude,status,requires_msds,created_at,updated_at
mat-011,4d7a04ee-6142-4ccc-98ab-81a81d57b35c,e0e2d333-dfdd-4e13-af22-63eac2c7901a,MAT-011,Bijih Plastik HDPE Putih Premium #11,Stok limbah industri Bijih Plastik HDPE Putih Premium #11 dengan kualitas Grade C dari area Sukabumi (Jawa Barat). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade C,460,KG,19000,IDR,Sukabumi,-6.9277,106.93,DRAFT,false,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-012,7373e264-7c80-42a2-9bb0-c57324449167,0f44d2e8-147b-4090-b996-4b19bcf2cfd9,MAT-012,Kertas HVS Kantor Shredded #12,Stok limbah industri Kertas HVS Kantor Shredded #12 dengan kualitas Grade D dari area Semarang (Jawa Tengah). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade D,170,KG,5500,IDR,Semarang,-6.9667,110.4167,PENDING_REVIEW,false,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-013,cc3c0fb9-a39c-4614-9352-86bfbe044602,ca47835e-3d4b-41ce-bcaa-f3e56e62bcd9,MAT-013,Kawat Tembaga Stripped Super #13,Stok limbah industri Kawat Tembaga Stripped Super #13 dengan kualitas Grade A dari area Surakarta (Jawa Tengah). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade A,10,TON,95000000,IDR,Surakarta,-7.5667,110.8167,ACTIVE,true,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-014,d362a06f-0785-4861-89d5-6db1f0c6e2bc,8f7f3289-92be-4887-9a2f-76319f6e3e88,MAT-014,Botol Kaca Bening Bekas Beverages #14,Stok limbah industri Botol Kaca Bening Bekas Beverages #14 dengan kualitas Grade B dari area Magelang (Jawa Tengah). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade B,27,TON,1500500,IDR,Magelang,-7.4706,110.2178,ACTIVE,false,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-015,7fc27b08-3648-43fc-9c88-1f8e18f68889,09a5c3b4-1501-413f-ba89-ae6e688f370b,MAT-015,Motherboard HP Bekas Rusak #15,Stok limbah industri Motherboard HP Bekas Rusak #15 dengan kualitas Grade C dari area Salatiga (Jawa Tengah). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade C,570,KG,46000,IDR,Salatiga,-7.3305,110.5084,ACTIVE,false,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-016,2462692b-11ec-4f2e-a1ef-d02fd2170e49,50bcc420-adf7-43d4-a717-180bb8be9214,MAT-016,Limbah Kain Denim Cut-offs #16,Stok limbah industri Limbah Kain Denim Cut-offs #16 dengan kualitas Grade D dari area Pekalongan (Jawa Tengah). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade D,520,KG,9500,IDR,Pekalongan,-6.8886,109.6753,ACTIVE,false,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-017,8f1cf643-ee6e-425f-9a52-7960386947cc,150a019c-eb53-4397-8920-718f230bc2f0,MAT-017,Sekam Padi Kering Industri #17,Stok limbah industri Sekam Padi Kering Industri #17 dengan kualitas Grade A dari area Tegal (Jawa Tengah). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade A,46,TON,450500,IDR,Tegal,-6.8694,109.1402,DRAFT,true,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-018,78a4dfa3-6330-4877-ae9f-e112c129b2cb,7473c7c6-3ad2-49f0-8175-effc5e05a385,MAT-018,Minyak Goreng Bekas Rumah Tangga #18,Stok limbah industri Minyak Goreng Bekas Rumah Tangga #18 dengan kualitas Grade B dari area Surabaya (Jawa Timur). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade B,540,LITER,9000,IDR,Surabaya,-7.2575,112.7521,PENDING_REVIEW,false,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-019,6713f812-53f1-4f47-a7fb-5f86bb673942,df8df47c-5b47-42f4-b288-aa55fce8269f,MAT-019,Potongan Kayu Jati Sisa Mebel #19,Stok limbah industri Potongan Kayu Jati Sisa Mebel #19 dengan kualitas Grade C dari area Malang (Jawa Timur). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade C,100,PCS,75000,IDR,Malang,-7.9666,112.6326,ACTIVE,false,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-020,f72a4207-a949-4a13-a4b8-cff252ed33f0,15b850e7-6ea2-4394-825c-873a0f50c703,MAT-020,Roti Afkir Bahan Pakan Ternak #20,Stok limbah industri Roti Afkir Bahan Pakan Ternak #20 dengan kualitas Grade D dari area Sidoarjo (Jawa Timur). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade D,340,KG,3000,IDR,Sidoarjo,-7.4478,112.7183,ACTIVE,false,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-021,6042c93c-f9d4-478f-a9a7-bbcb5e8b8273,e0e2d333-dfdd-4e13-af22-63eac2c7901a,MAT-021,Cacahan PP Injection Grade B #21,Stok limbah industri Cacahan PP Injection Grade B #21 dengan kualitas Grade A dari area Gresik (Jawa Timur). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade A,570,KG,10500,IDR,Gresik,-7.1566,112.6555,ACTIVE,true,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-022,4d7a04ee-6142-4ccc-98ab-81a81d57b35c,0f44d2e8-147b-4090-b996-4b19bcf2cfd9,MAT-022,Koran Bekas Ikat Clean #22,Stok limbah industri Koran Bekas Ikat Clean #22 dengan kualitas Grade B dari area Kediri (Jawa Timur). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade B,300,KG,2800,IDR,Kediri,-7.848,112.0178,ACTIVE,false,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-023,7373e264-7c80-42a2-9bb0-c57324449167,ca47835e-3d4b-41ce-bcaa-f3e56e62bcd9,MAT-023,Scrap Besi H-Beam Berat #23,Stok limbah industri Scrap Besi H-Beam Berat #23 dengan kualitas Grade C dari area Madiun (Jawa Timur). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade C,28,TON,6800500,IDR,Madiun,-7.6298,111.5239,DRAFT,false,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-024,cc3c0fb9-a39c-4614-9352-86bfbe044602,8f7f3289-92be-4887-9a2f-76319f6e3e88,MAT-024,Botol Kaca Hijau Pecahan Press #24,Stok limbah industri Botol Kaca Hijau Pecahan Press #24 dengan kualitas Grade D dari area Yogyakarta (DI Yogyakarta). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade D,49,TON,951000,IDR,Yogyakarta,-7.7956,110.3695,PENDING_REVIEW,false,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-025,d362a06f-0785-4861-89d5-6db1f0c6e2bc,09a5c3b4-1501-413f-ba89-ae6e688f370b,MAT-025,Kabel Tembaga Kupas Komputer #25,Stok limbah industri Kabel Tembaga Kupas Komputer #25 dengan kualitas Grade A dari area Sleman (DI Yogyakarta). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade A,220,KG,65000,IDR,Sleman,-7.7156,110.3553,ACTIVE,true,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-026,7fc27b08-3648-43fc-9c88-1f8e18f68889,50bcc420-adf7-43d4-a717-180bb8be9214,MAT-026,Sisa Kain Kaos Poliester #26,Stok limbah industri Sisa Kain Kaos Poliester #26 dengan kualitas Grade B dari area Bantul (DI Yogyakarta). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade B,140,KG,6500,IDR,Bantul,-7.8897,110.3289,ACTIVE,false,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-027,2462692b-11ec-4f2e-a1ef-d02fd2170e49,150a019c-eb53-4397-8920-718f230bc2f0,MAT-027,Ampas Tahu Bahan Pakan Ternak #27,Stok limbah industri Ampas Tahu Bahan Pakan Ternak #27 dengan kualitas Grade C dari area Tangerang (Banten). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade C,56,TON,601000,IDR,Tangerang,-6.1783,106.6319,ACTIVE,false,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-028,8f1cf643-ee6e-425f-9a52-7960386947cc,7473c7c6-3ad2-49f0-8175-effc5e05a385,MAT-028,Used Cooking Oil UCO Biodiesel Grade #28,Stok limbah industri Used Cooking Oil UCO Biodiesel Grade #28 dengan kualitas Grade D dari area Tangerang Selatan (Banten). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade D,270,LITER,11000,IDR,Tangerang Selatan,-6.2886,106.7179,ACTIVE,false,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-029,78a4dfa3-6330-4877-ae9f-e112c129b2cb,df8df47c-5b47-42f4-b288-aa55fce8269f,MAT-029,Serbuk Kayu Gergaji Kering #29,Stok limbah industri Serbuk Kayu Gergaji Kering #29 dengan kualitas Grade A dari area Serang (Banten). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade A,290,PCS,15500,IDR,Serang,-6.12,106.15,DRAFT,true,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-030,6713f812-53f1-4f47-a7fb-5f86bb673942,15b850e7-6ea2-4394-825c-873a0f50c703,MAT-030,Sisa Makanan Catering Pakan #30,Stok limbah industri Sisa Makanan Catering Pakan #30 dengan kualitas Grade B dari area Cilegon (Banten). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade B,120,KG,2800,IDR,Cilegon,-5.9924,106.0249,PENDING_REVIEW,false,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-031,f72a4207-a949-4a13-a4b8-cff252ed33f0,e0e2d333-dfdd-4e13-af22-63eac2c7901a,MAT-031,LDPE Film Bening Press #31,Stok limbah industri LDPE Film Bening Press #31 dengan kualitas Grade C dari area Jakarta Pusat (DKI Jakarta). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade C,520,KG,11000,IDR,Jakarta Pusat,-6.1805,106.8284,ACTIVE,false,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-032,6042c93c-f9d4-478f-a9a7-bbcb5e8b8273,0f44d2e8-147b-4090-b996-4b19bcf2cfd9,MAT-032,Kertas Duplex Sisa Potongan Pabrik #32,Stok limbah industri Kertas Duplex Sisa Potongan Pabrik #32 dengan kualitas Grade D dari area Jakarta Selatan (DKI Jakarta). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade D,510,KG,4300,IDR,Jakarta Selatan,-6.2615,106.8106,ACTIVE,false,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-033,4d7a04ee-6142-4ccc-98ab-81a81d57b35c,ca47835e-3d4b-41ce-bcaa-f3e56e62bcd9,MAT-033,Potongan Stainless Steel 304 #33,Stok limbah industri Potongan Stainless Steel 304 #33 dengan kualitas Grade A dari area Jakarta Barat (DKI Jakarta). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade A,36,TON,22001000,IDR,Jakarta Barat,-6.1683,106.7588,ACTIVE,true,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-034,7373e264-7c80-42a2-9bb0-c57324449167,8f7f3289-92be-4887-9a2f-76319f6e3e88,MAT-034,Cullet Kaca Coklat Farmasi #34,Stok limbah industri Cullet Kaca Coklat Farmasi #34 dengan kualitas Grade B dari area Jakarta Utara (DKI Jakarta). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade B,31,TON,1100000,IDR,Jakarta Utara,-6.1214,106.8911,ACTIVE,false,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-035,cc3c0fb9-a39c-4614-9352-86bfbe044602,09a5c3b4-1501-413f-ba89-ae6e688f370b,MAT-035,Power Supply Bekas Mix #35,Stok limbah industri Power Supply Bekas Mix #35 dengan kualitas Grade C dari area Jakarta Timur (DKI Jakarta). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade C,490,KG,15500,IDR,Jakarta Timur,-6.225,106.9004,DRAFT,false,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-036,d362a06f-0785-4861-89d5-6db1f0c6e2bc,50bcc420-adf7-43d4-a717-180bb8be9214,MAT-036,Kain Majun Industri Warna #36,Stok limbah industri Kain Majun Industri Warna #36 dengan kualitas Grade D dari area Bandung (Jawa Barat). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade D,310,KG,8500,IDR,Bandung,-6.9175,107.6191,PENDING_REVIEW,false,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-037,7fc27b08-3648-43fc-9c88-1f8e18f68889,150a019c-eb53-4397-8920-718f230bc2f0,MAT-037,Cangkang Sawit Kalori Tinggi #37,Stok limbah industri Cangkang Sawit Kalori Tinggi #37 dengan kualitas Grade A dari area Bogor (Jawa Barat). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade A,48,TON,1400000,IDR,Bogor,-6.5971,106.7996,ACTIVE,true,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-038,2462692b-11ec-4f2e-a1ef-d02fd2170e49,7473c7c6-3ad2-49f0-8175-effc5e05a385,MAT-038,Minyak Jelantah Filtered Grade B #38,Stok limbah industri Minyak Jelantah Filtered Grade B #38 dengan kualitas Grade B dari area Depok (Jawa Barat). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade B,230,LITER,9300,IDR,Depok,-6.4025,106.7942,ACTIVE,false,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-039,8f1cf643-ee6e-425f-9a52-7960386947cc,df8df47c-5b47-42f4-b288-aa55fce8269f,MAT-039,Kayu Balok Bekas Bekisting #39,Stok limbah industri Kayu Balok Bekas Bekisting #39 dengan kualitas Grade C dari area Bekasi (Jawa Barat). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade C,370,PCS,36000,IDR,Bekasi,-6.2383,106.9756,ACTIVE,false,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-040,78a4dfa3-6330-4877-ae9f-e112c129b2cb,15b850e7-6ea2-4394-825c-873a0f50c703,MAT-040,Bungkil Kacang Pengolahan #40,Stok limbah industri Bungkil Kacang Pengolahan #40 dengan kualitas Grade D dari area Cirebon (Jawa Barat). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade D,310,KG,3500,IDR,Cirebon,-6.732,108.5523,ACTIVE,false,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-041,6713f812-53f1-4f47-a7fb-5f86bb673942,e0e2d333-dfdd-4e13-af22-63eac2c7901a,MAT-041,Pipa PVC Scrap Industri Grade A #41,Stok limbah industri Pipa PVC Scrap Industri Grade A #41 dengan kualitas Grade A dari area Sukabumi (Jawa Barat). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade A,320,KG,8000,IDR,Sukabumi,-6.9277,106.93,DRAFT,true,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-042,f72a4207-a949-4a13-a4b8-cff252ed33f0,0f44d2e8-147b-4090-b996-4b19bcf2cfd9,MAT-042,Box Karton Corrugated Offcuts #42,Stok limbah industri Box Karton Corrugated Offcuts #42 dengan kualitas Grade B dari area Semarang (Jawa Tengah). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade B,220,KG,4100,IDR,Semarang,-6.9667,110.4167,PENDING_REVIEW,false,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-043,6042c93c-f9d4-478f-a9a7-bbcb5e8b8273,ca47835e-3d4b-41ce-bcaa-f3e56e62bcd9,MAT-043,Scrap Kuningan Fitting Grade A #43,Stok limbah industri Scrap Kuningan Fitting Grade A #43 dengan kualitas Grade C dari area Surakarta (Jawa Tengah). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade C,26,TON,48000000,IDR,Surakarta,-7.5667,110.8167,ACTIVE,false,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-044,4d7a04ee-6142-4ccc-98ab-81a81d57b35c,8f7f3289-92be-4887-9a2f-76319f6e3e88,MAT-044,Pecahan Kaca Lembaran Industri #44,Stok limbah industri Pecahan Kaca Lembaran Industri #44 dengan kualitas Grade D dari area Magelang (Jawa Tengah). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade D,43,TON,850500,IDR,Magelang,-7.4706,110.2178,ACTIVE,false,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-045,7373e264-7c80-42a2-9bb0-c57324449167,09a5c3b4-1501-413f-ba89-ae6e688f370b,MAT-045,Baterai Lithium Laptop Afkir #45,Stok limbah industri Baterai Lithium Laptop Afkir #45 dengan kualitas Grade A dari area Salatiga (Jawa Tengah). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade A,380,KG,36000,IDR,Salatiga,-7.3305,110.5084,ACTIVE,true,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-046,cc3c0fb9-a39c-4614-9352-86bfbe044602,50bcc420-adf7-43d4-a717-180bb8be9214,MAT-046,Benang Sisa Tenun Tekstil #46,Stok limbah industri Benang Sisa Tenun Tekstil #46 dengan kualitas Grade B dari area Pekalongan (Jawa Tengah). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade B,250,KG,12000,IDR,Pekalongan,-6.8886,109.6753,ACTIVE,false,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-047,d362a06f-0785-4861-89d5-6db1f0c6e2bc,150a019c-eb53-4397-8920-718f230bc2f0,MAT-047,Serabut Kelapa Cocopeat #47,Stok limbah industri Serabut Kelapa Cocopeat #47 dengan kualitas Grade C dari area Tegal (Jawa Tengah). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade C,42,TON,950500,IDR,Tegal,-6.8694,109.1402,DRAFT,false,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-048,7fc27b08-3648-43fc-9c88-1f8e18f68889,7473c7c6-3ad2-49f0-8175-effc5e05a385,MAT-048,Minyak Sisa Penggorengan Industri #48,Stok limbah industri Minyak Sisa Penggorengan Industri #48 dengan kualitas Grade D dari area Surabaya (Jawa Timur). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade D,380,LITER,10200,IDR,Surabaya,-7.2575,112.7521,PENDING_REVIEW,false,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-049,2462692b-11ec-4f2e-a1ef-d02fd2170e49,df8df47c-5b47-42f4-b288-aa55fce8269f,MAT-049,Papan Kayu Mahoni Afkir #49,Stok limbah industri Papan Kayu Mahoni Afkir #49 dengan kualitas Grade A dari area Malang (Jawa Timur). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade A,350,PCS,55000,IDR,Malang,-7.9666,112.6326,ACTIVE,true,2026-08-12 18:01:59,2026-08-12 18:01:59
mat-050,8f1cf643-ee6e-425f-9a52-7960386947cc,15b850e7-6ea2-4394-825c-873a0f50c703,MAT-050,Kulit Buah Kakao Kompos #50,Stok limbah industri Kulit Buah Kakao Kompos #50 dengan kualitas Grade B dari area Sidoarjo (Jawa Timur). Cocok untuk pengolahan kembali dan daur ulang skala industri.,Grade B,500,KG,2500,IDR,Sidoarjo,-7.4478,112.7183,ACTIVE,false,2026-08-12 18:01:59,2026-08-12 18:01:59
